time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749762456.971542,-0.005562230,0.010478400,-0.027972800,0.002690360,-0.001973640,0.109293000,-0.005375360,-0.016560300,1749762456.971541882,0.003421990,-0.011358928,0.240191000,-0.086650622,-0.767286000,-2.946200000,0.799319205,1.457910000,,,,,
1749762456.981745,-0.006922120,0.010060400,-0.027101600,0.003917780,-0.000304418,0.113260000,-0.004728680,-0.016355100,1749762456.981745005,0.004836710,-0.011213101,0.239938000,-0.086379010,-0.767242000,-2.946160000,0.799230378,1.457760000,,,,,
1749762456.991679,-0.008045750,0.009607160,-0.026102500,0.004952590,0.001184620,0.115713000,-0.004123320,-0.016165600,1749762456.991678953,0.006026526,-0.010986929,0.239705000,-0.086125276,-0.767207000,-2.946120000,0.799154243,1.457630000,,,,,
1749762457.001749,-0.009408690,0.009257710,-0.025273700,0.006314470,0.002952910,0.119920000,-0.005653990,-0.015918200,1749762457.001749039,0.007434220,-0.010906925,0.239427000,-0.086069062,-0.767162000,-2.946380000,0.799033753,1.457490000,,,,,
1749762457.011705,-0.010865300,0.008985520,-0.024433900,0.007667820,0.004683670,0.123579000,-0.007004780,-0.015658400,1749762457.011704922,0.008918801,-0.010920133,0.239121000,-0.085986872,-0.767109000,-2.946640000,0.798900074,1.457360000,,,,,
1749762457.015357,,,,,,,,,,,,,,,,,,1749762457.015357018,0.250000000,0.000000000,0.000000000,0.000000000
1749762457.021432,-0.012436600,0.008687990,-0.023602200,0.008479110,0.006413560,0.126980000,-0.007058370,-0.015463900,1749762457.021431923,0.010518848,-0.010931790,0.238784000,-0.085729264,-0.767062000,-2.946720000,0.798781825,1.457240000,,,,,
1749762457.031680,-0.014187100,0.008282230,-0.022811000,0.008988510,0.008130390,0.130057000,-0.006861790,-0.015305100,1749762457.031680107,0.012315222,-0.010872187,0.238405000,-0.085394806,-0.767034000,-2.946760000,0.798677550,1.457120000,,,,,
1749762457.041694,-0.015921700,0.007793150,-0.021918300,0.009586800,0.009642170,0.131510000,-0.005971210,-0.015128300,1749762457.041693926,0.014111047,-0.010729030,0.238012000,-0.084963650,-0.767022000,-2.946700000,0.798594790,1.457020000,,,,,
1749762457.051698,-0.017292100,0.007297980,-0.020946400,0.010023200,0.010972100,0.131613000,-0.005142320,-0.014969000,1749762457.051697969,0.015550768,-0.010509560,0.237653000,-0.084564697,-0.767016000,-2.946640000,0.798524455,1.456940000,,,,,
1749762457.061720,-0.019360000,0.006836940,-0.020193200,0.010733400,0.012348100,0.132024000,-0.004451020,-0.014765600,1749762457.061719894,0.017668285,-0.010458731,0.237180000,-0.084061898,-0.767010000,-2.946590000,0.798431143,1.456840000,,,,,
1749762457.065530,,,,,,,,,,,,,,,,,,1749762457.065530062,0.250000000,0.000000000,0.000000000,0.000000000
1749762457.071552,-0.021643300,0.006434530,-0.019465100,0.009693090,0.013713700,0.132337000,-0.003959690,-0.014809400,1749762457.071552038,0.019985969,-0.010506981,0.236655000,-0.083524642,-0.767001000,-2.946560000,0.798323091,1.456750000,,,,,
1749762457.081794,-0.023975200,0.006019670,-0.018745200,0.008419810,0.015097300,0.132752000,-0.004947050,-0.014897400,1749762457.081794024,0.022355958,-0.010547881,0.236099000,-0.083123829,-0.766996000,-2.946740000,0.798195484,1.456660000,,,,,
1749762457.091723,-0.026373300,0.005469600,-0.018040500,0.008755430,0.016334900,0.132133000,-0.005033060,-0.014764500,1749762457.091722965,0.024815811,-0.010471056,0.235511000,-0.082590969,-0.767016000,-2.946800000,0.798096302,1.456570000,,,,,
1749762457.101706,-0.028977300,0.004926870,-0.017252800,0.009561600,0.017413300,0.130460000,-0.004062890,-0.014559800,1749762457.101706028,0.027474676,-0.010445101,0.234869000,-0.081884645,-0.767040000,-2.946710000,0.798002953,1.456510000,,,,,
1749762457.111703,-0.031793800,0.004392970,-0.016471300,0.009735520,0.018293300,0.127538000,-0.003785310,-0.014438900,1749762457.111702919,0.030341251,-0.010466727,0.234170000,-0.081193261,-0.767069000,-2.946710000,0.797896042,1.456450000,,,,,
1749762457.115699,,,,,,,,,,,,,,,,,,1749762457.115699053,0.250000000,0.000000000,0.000000000,0.000000000
1749762457.121551,-0.034969700,0.003788570,-0.015759900,0.012304300,0.018935800,0.123181000,-0.002763980,-0.013968400,1749762457.121551037,0.033572922,-0.010492479,0.233391000,-0.080332730,-0.767113000,-2.946600000,0.797797196,1.456380000,,,,,
1749762457.131760,-0.038011000,0.003227690,-0.015107300,0.016290600,0.019521400,0.118734000,-0.000614811,-0.013266200,1749762457.131759882,0.036662312,-0.010541774,0.232599000,-0.079324052,-0.767156000,-2.946320000,0.797708166,1.456320000,,,,,
1749762457.141695,-0.041257800,0.002589570,-0.014435100,0.020230900,0.019926700,0.113351000,0.000692088,-0.012530800,1749762457.141695023,0.039969324,-0.010552966,0.231748000,-0.078333820,-0.767217000,-2.946140000,0.797616997,1.456270000,,,,,
1749762457.151700,-0.044456400,0.001915550,-0.013758200,0.022502700,0.020320700,0.108260000,0.001209940,-0.011998500,1749762457.151700020,0.043236977,-0.010516873,0.230870000,-0.077386777,-0.767289000,-2.946050000,0.797524077,1.456220000,,,,,
1749762457.161712,-0.048013000,0.001240450,-0.013072800,0.024102600,0.020243100,0.100274000,-0.000491866,-0.011541000,1749762457.161711931,0.046859498,-0.010534436,0.229909000,-0.076620119,-0.767368000,-2.946290000,0.797396484,1.456180000,,,,,
1749762457.165868,,,,,,,,,,,,,,,,,,1749762457.165868044,0.250000000,0.000000000,0.000000000,0.000000000
